objective_id,section_id,content_stmt
ECON-1.1,ECON-S1,"Define the term ""economics"""
ECON-1.2,ECON-S1,Explain the branches of economics
ECON-1.3,ECON-S1,Explain the meaning of an economy
ECON-1.4,ECON-S1,Describe the main economic agents in an economy
ECON-1.5,ECON-S1,"Explain the concepts of scarcity, choice and opportunity cost within an economy"
ECON-1.6,ECON-S1,"Use the production possibility frontier to illustrate basic economic concepts, principles and approaches"
ECON-1.7,ECON-S1,Describe the main factors that affect the decisions made by economic agents
ECON-2.1,ECON-S2,Explain the difference between production and productivity
ECON-2.2,ECON-S2,Describe the factors of production
ECON-2.3,ECON-S2,Describe the main sectors in an economy
ECON-2.4,ECON-S2,Explain the difference between short run and long run
ECON-2.5,ECON-S2,Identify the costs associated with production
ECON-2.6,ECON-S2,Calculate the costs associated with production
ECON-2.7,ECON-S2,Illustrate the curves associated with the cost of production
ECON-2.8,ECON-S2,Explain the difference between goods and services
ECON-2.9,ECON-S2,Explain the concept of resource allocation
ECON-2.10,ECON-S2,Describe the main types of economic systems
ECON-2.11,ECON-S2,Discuss the merits and demerits of each economic system
ECON-3.1,ECON-S3,"Explain the term ""market"""
ECON-3.2,ECON-S3,Identify the market forces
ECON-3.3,ECON-S3,Use diagrams to describe the relationship between price and demand and price and supply
ECON-3.4,ECON-S3,Explain the concept of ceteris paribus
ECON-3.5,ECON-S3,Explain the concept of market equilibrium and disequilibrium
ECON-3.6,ECON-S3,Illustrate market equilibrium and disequilibrium
ECON-3.7,ECON-S3,Use diagrams to explain the non- price determinants of demand and supply
ECON-3.8,ECON-S3,"Illustrate how changes to the determinants affect equilibrium, price and quantity"
ECON-3.9,ECON-S3,"Explain the concept of price, income and cross-price elasticities of demand"
ECON-3.10,ECON-S3,"Calculate the price, income and cross-price elasticities of demand"
ECON-3.11,ECON-S3,"Interpret the price, income and cross-price elasticities of demand"
ECON-3.12,ECON-S3,"Outline the factors affecting price, income and cross-price elasticities of demand"
ECON-3.13,ECON-S3,Explain the concept of price elasticity of supply
ECON-3.14,ECON-S3,Calculate price elasticity of supply
ECON-3.15,ECON-S3,Interpret price elasticity of supply
ECON-3.16,ECON-S3,Outline the factors affecting price elasticity of supply
ECON-4.1,ECON-S4,"Define the term ""market structure"""
ECON-4.2,ECON-S4,Describe the main types of market structures
ECON-4.3,ECON-S4,Illustrate graphs related to the main market structures
ECON-4.4,ECON-S4,Interpret graphs related to the main market structures
ECON-4.5,ECON-S4,"Define the term ""market failure"""
ECON-4.6,ECON-S4,"Outline the main causes of market failure; and,"
ECON-4.7,ECON-S4,Discuss the main consequences of market failure
ECON-5.1,ECON-S5,Explain the concept of the Financial Sector
ECON-5.2,ECON-S5,Discuss the role of the Financial Sector
ECON-5.3,ECON-S5,Discuss the concept of money
ECON-5.4,ECON-S5,"Explain the concepts ""demand for money"" and ""money supply"""
ECON-5.5,ECON-S5,Describe the role of the Central Bank
ECON-5.6,ECON-S5,"Describe the role of financial institutions and arrangements other than the Central Bank; and,"
ECON-6.1,ECON-S6,Discuss the role of government in stabilising the economy
ECON-6.2,ECON-S6,"Explain the concepts, principles and approaches associated with economic policies and goals"
ECON-6.3,ECON-S6,Discuss measures used to correct macro-economic problems in an economy
ECON-6.4,ECON-S6,Use diagrams to describe the concept of the circular flow of income
ECON-6.5,ECON-S6,"Discuss the differences among Gross Domestic Product (GDP), Gross National Product (GNP), and National Income (NI)"
ECON-6.6,ECON-S6,Calculate Gross Domestic Product (GDP) and Gross National Product (GNP); National Income(NI)
ECON-6.7,ECON-S6,Interpret Gross Domestic Product (GDP) and Gross National Product (GNP); National Income(NI)
ECON-6.8,ECON-S6,"Explain the differences among nominal output, real output and potential output"
ECON-6.9,ECON-S6,Explain the difference between economic growth and economic development
ECON-6.10,ECON-S6,Explain the difference between inflation and recession
ECON-6.11,ECON-S6,"Discuss the main causes, consequences, and solutions associated with inflation and recession in an economy"
ECON-6.12,ECON-S6,Explain the different types of unemployment
ECON-6.13,ECON-S6,"Discuss the causes and consequences of, and solutions to the different types of unemployment; and,"
ECON-6.14,ECON-S6,Explain the role of trade unions in an economy
ECON-7.1,ECON-S7,Discuss the meaning of concepts principles and approaches associated with international trade
ECON-7.2,ECON-S7,Explain the rationale for international trade
ECON-7.3,ECON-S7,"Discuss the concepts, principles and approaches associated with balance of payments"
ECON-7.4,ECON-S7,Calculate balance of payments surpluses and deficits
ECON-7.5,ECON-S7,Interpret balance of payments surpluses and deficits
ECON-7.6,ECON-S7,"Discuss the consequences of and remedies for balance of payments surpluses and deficits; and,"
ECON-7.7,ECON-S7,"Discuss the concepts, principles and approaches associated with exchange rates"
ECON-8.1,ECON-S8,Describe the main characteristics of Caribbean economies
ECON-8.2,ECON-S8,Discuss the major economic challenges and possible solutions associated with Caribbean economies
ECON-8.3,ECON-S8,"Discuss the concepts, principles and approaches associated with Caribbean economies"
ECON-8.4,ECON-S8,Explain the benefits and costs derived from the participation of CARICOM countries in preferential trade arrangements
ECON-8.5,ECON-S8,"Discuss the benefits to be derived from the Caribbean Single Market and Economy (CSME); and,"
ECON-8.6,ECON-S8,"Discuss the concepts, principles, approaches, and issues associated with e-commerce"
